#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
TOI-892,6261,80,80,0.24,0.05,0.05,1.28,0.03,0.02,1.39,0.02,0.02,4.26,0.02,0.02,0.47,0.03,0.02,10.627,0,0.125,0,0.092,0.005,0.005,0.95,0.07,0.07,1.07,0.02,0.02,-1,-1,-1,-1,-1,-1,1397,40,40,arXiv:2009.08881,arXiv:2009.08881
TOI-905,5570,150,140,0.14,0.22,0.18,0.968,0.061,0.068,0.918,0.038,0.036,4.498,0.025,0.027,1.25,0.11,0.11,3.739,0.024,0.025,0.017,0.0467,0.001,0.0011,0.667,0.042,0.041,1.171,0.053,0.051,-1,-1,-1,0.388,0.048,0.043,1192,39,36,arXiv:1912.10186,arXiv:1912.10186
TOI-942b,4928,125,85,-0.221,0.131,0.076,0.822,0.0079,0.0064,0.894,0.056,0.052,-1,-1,-1,-1,-1,-1,4.324,0.34,0.1,0.14,0.04866,0.00016,0.00013,0,0.05,0,0.347,0.022,0.021,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2011.13349,arXiv:2106.14968
TOI-942c,4928,125,85,-0.221,0.131,0.076,0.822,0.0079,0.0064,0.894,0.056,0.052,-1,-1,-1,-1,-1,-1,10.156,0.32,0.23,0.16,0.08598,0.00027,0.00022,0,0.12,0,0.417,0.03,0.027,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2011.13349,arXiv:2106.14968
TOI-954,5710,53,49,0.215,0.05,0.051,1.201,0.066,0.064,1.892,0.077,0.076,3.962,0.026,0.024,0.176,0.018,0.015,3.685,0.14,0.18,0.11,0.04962,0.00089,0.0009,0.174,0.018,0.017,0.852,0.053,0.062,-1,-1,-1,0.26,0.08,0.05,1526,123,164,arXiv:2010.14436,arXiv:2010.14436
TOI-1062,5328,56,56,0.14,0.04,0.04,0.94,0.02,0.02,0.84,0.09,0.09,4.55,0.09,0.09,1.57,0.07,0.07,4.114,0.179,0.08,0.061,0.052,0.023,0.025,0.032,0.0026,0.0027,0.202,0.0085,0.0081,-1,-1,-1,3.66,0.64,0.56,1077,10,9,arXiv:2105.01945,arXiv:2105.01945
TOI-1132b,4250,67,67,0.2,0.3,0,0.684,0.016,0.017,0.687,0.015,0.015,4.6,0.02,0.02,2.1,0.14,0.12,4.066,0.22,0.11,0.11,0.04394,0.00035,0.00038,0,0.17,0,0.326,0.009,0.009,-1,-1,-1,-1,-1,-1,810,15,15,arXiv:2003.10852,arXiv:2003.10852
TOI-1132c,4250,67,67,0.2,0.3,0,0.684,0.016,0.017,0.687,0.015,0.015,4.6,0.02,0.02,2.1,0.14,0.12,8.35,0.047,0.04,0.027,0.07098,0.00056,0.0006,0.974,0.043,0.044,1.5,0.27,0.22,-1,-1,-1,0.29,0.18,0.11,647,12,12,arXiv:2003.10852,arXiv:2003.10852
TOI-1201,3476,51,51,0.05,0.16,0.16,0.512,0.02,0.02,0.508,0.016,0.016,4.8,0.04,0.04,3.88,0.41,0.35,2.492,0,-1,-1,0.0287,0.0012,0.0012,0.0198,0.0026,0.0028,0.215,0.008,0.008,10.5,1.8,1.6,1.85,0.36,0.32,703,15,14,arXiv:2109.09346,arXiv:2109.09346
TOI-1231,3562,101,101,0.05,0.08,0.08,0.485,0.024,0.024,0.476,0.015,0.014,4.767,0.033,0.035,4.47,0.48,0.45,24.246,0.087,0.12,0.061,0.1288,0.0021,0.0022,0.048,0.01,0.01,0.326,0.014,0.013,11.3,2.7,2.5,1.31,0.35,0.32,330,4,4,arXiv:2105.08077,arXiv:2105.08077
TOI-1235,3997,51,51,0.33,0.16,0.16,0.63,0.024,0.024,0.619,0.019,0.019,4.64,0.04,0.04,2.65,0.22,0.22,3.445,0,-1,-1,0.03826,0.00048,0.00049,0.0186,0.0019,0.0019,0.1511,0.0071,0.0069,20.1,3,2.7,5.1,1,0.8,775,13,13,arXiv:2004.06218,arXiv:2004.06218
TOI-1259,4775,100,100,-0.5,0.5,0.5,0.744,0.064,0.059,0.711,0.02,0.019,4.605,0.013,0.013,2.07,0.02,0.03,3.478,0,0.132,0,0.0407,0.0011,0.0011,0.441,0.049,0.047,1.022,0.03,0.027,10.5,1,0.9,0.387,0.038,0.036,963,21,21,arXiv:2101.02707,arXiv:2101.02707
TOI-1260b,4227,85,85,-0.1,0.07,0.07,0.66,0.01,0.01,0.65,0.01,0.01,4.57,0.05,0.05,2.43,0.06,0.06,3.127,0,-1,-1,0.0366,0.0022,0.0036,0.0271,0.0043,0.0046,0.2083,0.009,0.0085,15.4,2.9,2.9,2.78,0.61,0.57,860,47,31,arXiv:2104.05653,arXiv:2104.05653
TOI-1260c,4227,85,85,-0.1,0.07,0.07,0.66,0.01,0.01,0.65,0.01,0.01,4.57,0.05,0.05,2.43,0.06,0.06,7.493,0,-1,-1,0.0656,0.0039,0.0065,0.0327,0.0106,0.0102,0.252,0.013,0.014,14.5,4.5,4.1,2.16,0.74,0.65,643,35,23,arXiv:2104.05653,arXiv:2104.05653
TOI-1266b,3573,35,38,-0.08,0.13,0.12,0.437,0.021,0.021,0.4232,0.0077,0.0079,4.826,0.02,0.021,5.76,0.33,0.33,10.895,0,-1,-1,0.0745,0.0046,0.0069,0,0.05,0,0.2193,0.0074,0.0066,-1,-1,-1,-1,-1,-1,287,15,11,arXiv:2006.11180,arXiv:2006.11180
TOI-1266c,3573,35,38,-0.08,0.13,0.12,0.437,0.021,0.021,0.4232,0.0077,0.0079,4.826,0.02,0.021,5.76,0.33,0.33,18.802,0,-1,-1,0.1037,0.0026,0.0025,0,0.02,0,0.1492,0.0077,0.0095,-1,-1,-1,-1,-1,-1,243,6,6,arXiv:2006.11180,arXiv:2006.11180
TOI-1278,3799,42,42,-0.01,0.28,0.28,0.55,0.02,0.02,0.573,0.012,0.012,4.68,0.1,0.1,-1,-1,-1,14.476,0.013,0.004,0.004,0.095,0.001,0.001,18.5,0.5,0.5,1.09,0.24,0.2,-1,-1,-1,14,11,6,-1,-1,-1,arXiv:2106.04536,arXiv:2106.04536
TOI-1296,5603,47,47,0.44,0.04,0.04,1.17,0.14,0.14,1.664,0.041,0.041,4.05,0.1,0.1,-1,-1,-1,3.944,0.055,0.061,0.038,0.0497,0.0023,0.0028,0.298,0.039,0.039,1.231,0.031,0.031,-1,-1,-1,0.149,0.023,0.023,1562,43,31,arXiv:2109.09252,arXiv:2109.09252
TOI-1298,5889,43,43,0.49,0.03,0.03,1.44,0.1,0.1,1.412,0.033,0.033,4.39,0.08,0.08,-1,-1,-1,4.537,0.032,0.034,0.023,0.059,0.0023,0.0023,0.356,0.032,0.032,0.841,0.021,0.021,-1,-1,-1,0.56,0.069,0.069,1388,24,24,arXiv:2109.09252,arXiv:2109.09252
TOI-1338,5990,98,92,0.01,0.05,0.05,1.038,0.068,0.069,1.299,0.024,0.026,4,0.08,0.08,-1,-1,-1,95.141,0.0928,0.0043,0.0033,0.4491,0.0084,0.0088,0.095,0.064,0.062,0.599,0.017,0.017,-1,-1,-1,0.41,0.26,0.25,-1,-1,-1,arXiv:2004.07783,arXiv:2004.07783
TOI-1406,6290,100,100,-0.08,0.09,0.09,1.18,0.08,0.09,1.35,0.03,0.03,4.252,0.037,0.041,0.482,0.05,0.05,10.574,0,-1,-1,0.101,0.0022,0.0026,46,2.6,2.7,0.86,0.03,0.03,1550,150,140,68,8,8,1108,18,17,arXiv:2002.01943,arXiv:2002.01943
TOI-1435,7690,400,250,0.43,0.2,0.28,1.9,0.1,0.08,1.92,0.07,0.07,4.15,0.04,0.04,0.27,0.04,0.04,2.65,0.01,0.0036,0.009,0.046,0.002,0.002,3.14,0.19,0.18,1.49,0.05,0.05,34.5,0.9,0.9,0.89,0.15,0.13,2390,100,100,arXiv:2104.12078,arXiv:2104.12078
TOI-1444,5430,90,90,0.13,0.06,0.06,0.934,0.038,0.038,0.907,0.016,0.016,4.49,0.03,0.03,0.879,0.071,0.071,0.47,0,-1,-1,-1,-1,-1,0.0121,0.0022,0.0022,0.1246,0.0057,0.0057,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2105.08844,arXiv:2105.08844
TOI-1518,7300,100,100,-0.1,0.12,0.12,1.79,0.26,0.26,1.95,0.048,0.048,4.1,0.2,0.2,-1,-1,-1,1.903,0,0.01,0,0.0389,0.0011,0.0011,0,2.3,0,1.875,0.053,0.053,-1,-1,-1,-1,-1,-1,2492,38,38,arXiv:2108.11403,arXiv:2108.11403
TOI-1634,3472,48,48,0.191,0.085,0.085,0.452,0.014,0.014,0.451,0.015,0.051,4.833,0.028,0.028,4.93,0.43,0.48,0.989,0,-1,-1,0.01491,0.0015,0.0015,0.0313,0.003,0.003,0.1582,0.0069,0.0069,-1,-1,-1,7.4,1.3,1.1,921,21,21,arXiv:2103.12760,arXiv:2103.12760
TOI-1685,3434,51,51,-0.13,0.16,0.16,0.495,0.019,0.019,0.492,0.015,0.051,4.85,0.04,0.04,4.108,0.043,0.045,0.669,0,-1,-1,-1,-1,-1,0.0119,0.002,0.002,0.152,0.006,0.006,12.8,2.5,2.3,3.17,0.69,0.64,1069,16,16,arXiv:2103.01016,arXiv:2103.01016
TOI-1728,3975,77,77,0.09,0.13,0.13,0.646,0.032,0.022,0.624,0.01,0.01,4.657,0.017,0.017,2.68,0.13,0.13,3.492,0.057,0.054,0.039,0.0391,0.0009,0.0009,0.084,0.017,0.016,0.451,0.014,0.015,10.37,0.29,0.3,0.86,0.2,0.18,767,8,8,arXiv:2006.14546,arXiv:2006.14546
TOI-1749b,3985,55,55,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,-1,-1,-1,2.389,0.02,0.06,0.02,0.0291,0.0005,0.0005,0.06,0.07,0.04,0.124,0.019,0.017,-1,-1,-1,-1,-1,-1,831,18,18,arXiv:2107.05430,arXiv:2107.05430
TOI-1749c,3985,55,55,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,-1,-1,-1,4.489,0.007,0.007,0.005,0.0443,0.0008,0.0008,0.007,0.018,0.005,0.189,0.011,0.011,-1,-1,-1,-1,-1,-1,673,15,15,arXiv:2107.05430,arXiv:2107.05430
TOI-1749d,3985,55,55,-0.26,0.08,0.08,0.58,0.03,0.03,0.55,0.03,0.03,4.7,0.05,0.05,-1,-1,-1,9.045,0.015,0.017,0.011,0.0707,0.0012,0.0012,0.014,0.02,0.011,0.225,0.013,0.013,-1,-1,-1,-1,-1,-1,533,12,12,arXiv:2107.05430,arXiv:2107.05430
TOI-1789,5984,55,57,0.37,0.073,0.089,1.499,0.061,0.15,2.172,0.037,0.035,3.939,0.024,0.046,0.145,0.011,0.015,3.209,0,-1,-1,0.04873,0.00065,0.0016,0.7,0.16,0.16,1.4,0.22,0.13,8.5,3.2,2.9,0.23,0.1,0.11,1929,28,18,arXiv:2106.08660,arXiv:2106.08660
TOI-1899,3841,54,45,0.2,0.13,0.13,0.627,0.026,0.028,0.607,0.019,0.023,4.669,0.025,0.022,2.8,0.26,0.21,29.02,0.118,0.073,0.077,0.1587,0.0067,0.0075,0.66,0.07,0.07,1.37,0.05,0.06,8.8,1.1,1.1,0.24,0.04,0.05,362,7,7,arXiv:2007.07098,arXiv:2007.07098
TOI-2184,5966,136,136,0.14,0.08,0.08,1.53,0.12,0.12,2.9,0.14,0.14,3.7,0.05,0.05,0.063,0.01,0.01,6.907,0.08,0.07,0.07,-1,-1,-1,0.65,0.16,0.16,1.017,0.051,0.051,-1,-1,-1,0.57,0.15,0.15,-1,-1,-1,arXiv:2108.02294,arXiv:2108.02294
TOI-2202,5144,50,50,0.04,0.05,0.05,0.823,0.027,0.023,0.794,0.007,0.007,4.55,0.2,0.2,-1,-1,-1,11.901,0.042,0.026,0.008,0.0956,0.0016,0.0016,0.978,0.063,0.059,1.01,0.52,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2108.05323,arXiv:2108.05323
TOI-2406,3100,75,75,-0.38,0.07,0.07,0.162,0.008,0.008,0.202,0.011,0.011,5.037,0.053,0.051,19.6,3.8,3,3.077,0.26,0.27,0.12,0.0228,0.0016,0.0016,-1,-1,-1,0.262,0.015,0.014,-1,-1,-1,-1,-1,-1,447,15,15,arXiv:2107.14125,arXiv:2107.14125
TOI-3362,6352,88,86,0.017,0.057,0.049,1.445,0.069,0.073,1.83,0.055,0.053,4.072,0.032,0.034,0.235,0.025,0.023,18.095,0.815,0.023,0.032,0.153,0.002,0.003,5.03,0.67,0.65,1.142,0.043,0.041,-1,-1,-1,-1,-1,-1,-1,-1,-1,arXiv:2109.03771,arXiv:2109.03771
TRAPPIST-1b,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,1.511,0,0.081,0,0.0115,0.00028,0.00025,0.0032,0.0004,0.0005,0.1,0.0029,0.0028,7.97,1,1,3.99,0.5,0.5,391.8,5.5,5.5,2016Natur.533..221G,arXiv:2006.13826
TRAPPIST-1c,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,2.422,0,0.083,0,0.01576,0.00038,0.00034,0.0036,0.0004,0.0004,0.0977,0.0028,0.0027,9.48,0.85,0.85,4.85,0.43,0.43,334.8,4.7,4.7,2016Natur.533..221G,arXiv:2006.13826
TRAPPIST-1d,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,4.05,0,0.07,0,0.02219,0.00053,0.00048,0.0009,0.0001,0.0001,0.0699,0.0021,0.0021,4.74,0.47,0.47,3.38,0.34,0.34,282.1,4,4,2017Natur.542..456G,arXiv:2006.13826
TRAPPIST-1e,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,6.099,0,0.085,0,0.02916,0.0007,0.00063,0.0024,0.0002,0.0002,0.0812,0.0024,0.0023,9.12,0.62,0.62,5.63,0.38,0.38,246.1,3.5,3.5,2017Natur.542..456G,arXiv:2006.13826
TRAPPIST-1f,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,9.206,0,0.063,0,0.03836,0.00092,0.00084,0.0029,0.0002,0.0003,0.0933,0.0027,0.0026,8.37,0.38,0.38,4.48,0.2,0.2,214.5,3,3,2017Natur.542..456G,arXiv:2006.13826
TRAPPIST-1g,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,12.355,0,0.061,0,0.0467,0.0011,0.0011,0.0036,0.0003,0.0003,0.1024,0.0029,0.0029,8.54,0.38,0.38,4.17,0.18,0.18,194.5,2.7,2.7,2017Natur.542..456G,arXiv:2006.13826
TRAPPIST-1h,2557,47,47,0.04,0.08,0.08,0.0898,0.0023,0.0023,0.1234,0.0033,0.0033,-1,-1,-1,47.98,3.9,3.9,18.768,0,-1,-1,0.0617,0.0015,0.0013,0.001,0.0002,0.0002,0.069,0.0024,0.0023,5.44,0.75,0.75,3.95,0.56,0.56,169.2,2.4,2.4,2017NatAs...1E.129L,arXiv:2006.13826
TrES-1,5226,50,50,0.06,0.05,0.05,0.892,0.049,0.049,0.818,0.021,0.021,4.563,0.02,0.02,1.632,0.092,0.092,3.03,0,-1,-1,0.03946,0.00072,0.00072,0.761,0.051,0.051,1.099,0.035,0.035,15.6,1.2,1.2,0.57,0.06,0.06,1147,15,15,2004ApJ...613L.153A,2010MNRAS.408.1689S
TrES-2,5850,50,50,-0.15,0.1,0.1,0.991,0.057,0.057,0.964,0.018,0.018,4.466,0.009,0.009,1.105,0.011,0.011,2.471,0,-1,-1,0.03567,0.00067,0.00067,1.206,0.049,0.049,1.193,0.023,0.023,21.02,0.31,0.31,0.665,0.015,0.015,1466,12,12,2006ApJ...651L..61O,2011MNRAS.417.2166S
TrES-3,5650,75,75,-0.19,0.08,0.08,0.921,0.019,0.019,0.8235,0.011,0.011,4.571,0.007,0.007,1.648,0.041,0.041,1.306,0,-1,-1,0.02276,0.00016,0.00016,1.899,0.062,0.062,1.31,0.019,0.019,27.4,1.1,1.1,0.79,0.04,0.04,1638,22,22,2007ApJ...663L..37O,2011MNRAS.417.2166S
TrES-4,6295,65,65,0.28,0.09,0.09,1.45,0.05,0.05,1.81,0.08,0.08,4.09,0.03,0.03,0.246,0.03,0.022,3.554,0,0.016,0,0.0516,0.0005,0.0005,0.494,0.035,0.035,1.838,0.081,0.09,2.82,0.34,0.31,0.075,0.012,0.01,1795,35,39,2007ApJ...667L.195M,2015A+A...575L..15S
TrES-5,5171,36,36,0.2,0.08,0.08,0.901,0.03,0.03,0.868,0.013,0.013,4.517,0.012,0.012,1.381,0.051,0.051,1.482,0,-1,-1,0.02446,0.00068,0.00068,1.79,0.068,0.068,1.194,0.015,0.015,31.1,1,1,0.983,0.039,0.039,1480,13,13,2011ApJ...741..114M,2015MNRAS.448.2546B
V1298_Tau_b,4970,120,120,-1,-1,-1,1.1,0.05,0.05,1.305,0.07,0.07,4.246,0.034,0.034,0.494,0.053,0.053,24.139,0.087,0.216,0.062,0.1688,0.0026,0.0026,0,8.3,0,0.904,0.053,0.048,-1,-1,-1,-1,-1,-1,677,22,22,arXiv:1902.09670,arXiv:1902.09670
V1298_Tau_c,4970,120,120,-1,-1,-1,1.1,0.05,0.05,1.305,0.07,0.07,4.246,0.034,0.034,0.494,0.053,0.053,8.25,0,0.43,0,0.0825,0.0013,0.0013,-1,-1,-1,0.499,0.032,0.029,-1,-1,-1,-1,-1,-1,968,31,31,arXiv:1910.04563,arXiv:1910.04563
V1298_Tau_d,4970,120,120,-1,-1,-1,1.1,0.05,0.05,1.305,0.07,0.07,4.246,0.034,0.034,0.494,0.053,0.053,12.403,0,0.21,0,0.1083,0.0016,0.0016,-1,-1,-1,0.572,0.04,0.035,-1,-1,-1,-1,-1,-1,845,27,27,arXiv:1910.04563,arXiv:1910.04563
WASP-001,6160,64,64,0.14,0.07,0.07,1.24,0.05,0.07,1.47,0.022,0.032,4.195,0.01,0.017,0.389,0.007,0.012,2.52,0,-1,-1,0.03889,0.00053,0.00073,0.854,0.057,0.052,1.483,0.024,0.034,9.8,0.8,0.9,0.262,0.022,0.024,1830,33,49,2007MNRAS.375..951C,2014AcA....64...27M
WASP-002,5170,60,60,0.04,0.05,0.05,0.843,0.038,0.038,0.821,0.014,0.014,4.536,0.015,0.015,1.524,0.067,0.067,2.152,0,-1,-1,0.0308,0.0004,0.0004,0.892,0.03,0.03,1.06,0.025,0.025,19.7,0.78,0.78,0.701,0.041,0.041,1286,17,17,2007MNRAS.375..951C,arXiv:2001.08225
WASP-003,6340,90,90,0.161,0.063,0.063,1.11,0.08,0.06,1.298,0.053,0.044,4.26,0.04,0.04,0.506,0.026,0.025,1.847,0,-1,-1,0.0305,0.0008,0.0006,1.77,0.11,0.09,1.346,0.063,0.063,24,2,2,0.73,0.15,0.14,2020,35,35,2008MNRAS.385.1576P,2013AJ....146..147M
WASP-004,5540,55,55,-0.03,0.09,0.09,0.927,0.055,0.055,0.91,0.018,0.018,4.487,0.01,0.01,1.23,0.022,0.022,1.338,0,-1,-1,0.02318,0.00046,0.00046,1.249,0.052,0.052,1.364,0.028,0.028,16.64,0.33,0.33,0.46,0.015,0.015,1673,17,17,2008ApJ...675L.113W,2012MNRAS.426.1291S
WASP-005,5770,65,65,0.09,0.09,0.09,1.033,0.049,0.049,1.088,0.04,0.04,4.379,0.03,0.03,0.801,0.08,0.08,1.628,0,-1,-1,0.0274,0.00044,0.00044,1.595,0.052,0.052,1.175,0.055,0.055,28.6,2.6,2.6,0.92,0.12,0.12,1753,35,35,2008MNRAS.387L...4A,2012MNRAS.426.1291S
WASP-006,5375,65,65,-0.2,0.09,0.09,0.836,0.067,0.067,0.864,0.025,0.025,4.487,0.017,0.017,1.296,0.053,0.053,3.361,0.054,0.018,0.014,0.0414,0.0011,0.0011,0.485,0.028,0.028,1.23,0.037,0.037,7.96,0.3,0.3,0.244,0.015,0.015,1184,16,16,2009A+A...501..785G,2015MNRAS.450.1760T
WASP-007,6520,70,70,0,0.1,0.1,1.317,0.072,0.072,1.478,0.088,0.088,4.218,0.048,0.048,0.408,0.068,0.068,4.955,0,-1,-1,0.0624,0.0011,0.0011,0.98,0.13,0.13,1.374,0.094,0.094,12.9,2.4,2.4,0.353,0.087,0.087,1530,45,45,2009ApJ...690L..89H,2012MNRAS.426.1291S
WASP-008,5690,36,36,0.29,0.03,0.03,1.093,0.033,0.033,0.976,0.021,0.021,4.498,0.018,0.018,1.176,0.07,0.07,8.159,0.31,0.0029,0.0024,0.0817,0.0008,0.0008,2.216,0.047,0.047,1.165,0.033,0.033,42.5,2.3,2.3,1.31,0.1,0.1,947,12,12,2010A+A...517L...1Q,arXiv:2001.08225
WASP-010,4735,69,69,0.05,0.08,0.08,0.73,0.1,0.1,0.678,0.028,0.032,4.62,0.05,0.05,2.359,0.053,0.047,3.093,0.057,0.011,0.005,0.0378,0.0016,0.0016,3.14,0.27,0.27,1.039,0.043,0.049,68.9,6.7,6.7,2.81,0.44,0.33,972,31,31,2009MNRAS.392.1585C,2013MNRAS.430.3032B
WASP-011,4900,65,65,0.12,0.09,0.09,0.806,0.04,0.04,0.772,0.015,0.015,4.569,0.018,0.018,1.748,0.074,0.074,3.722,0,-1,-1,0.04375,0.00074,0.00074,0.492,0.024,0.024,0.99,0.023,0.023,12.45,0.5,0.5,0.475,0.026,0.026,992,14,14,2009A+A...502..395W,2015A+A...579A.136M
WASP-012,6313,52,52,0.21,0.04,0.04,1.434,0.11,0.09,1.657,0.046,0.044,4.157,0.013,0.012,0.316,0.011,0.01,1.091,0,0.053,0,0.0234,0.00056,0.0005,1.47,0.076,0.069,1.9,0.057,0.045,10.09,0.35,0.34,0.201,0.011,0.011,2580,58,62,2009ApJ...693.1920H,2017AJ....153...78C
WASP-013,6025,21,21,0.11,0.05,0.05,1.22,0.12,0.12,1.657,0.079,0.079,4.086,0.033,0.033,0.268,0.029,0.029,4.353,0,-1,-1,0.0557,0.0018,0.0018,0.512,0.06,0.06,1.528,0.084,0.084,5.44,0.73,0.73,0.134,0.023,0.023,1531,37,37,2009A+A...502..391S,2012MNRAS.426.1291S
WASP-014,6462,75,75,0,0.04,0.04,1.3,0.06,0.06,1.318,0.095,0.073,4.312,0.061,0.047,0.57,0.12,0.09,2.243,0.0823,0.0033,0.0032,0.037,0.001,0.001,7.59,0.24,0.23,1.24,0.12,0.1,123,25,19,3.73,1.05,0.93,1872,29,29,2009MNRAS.392.1532J,2015MNRAS.451.4139R
WASP-015,6573,70,70,0.09,0.04,0.04,1.305,0.051,0.051,1.522,0.044,0.044,4.189,0.021,0.021,0.37,0.027,0.027,3.752,0,-1,-1,0.05165,0.00067,0.00067,0.592,0.019,0.019,1.408,0.046,0.046,7.39,0.46,0.46,0.198,0.018,0.018,1676,29,29,2009AJ....137.4834W,2013MNRAS.434.1300S
WASP-016,5630,70,70,0.07,0.1,0.1,0.98,0.054,0.054,1.087,0.042,0.042,4.357,0.022,0.022,0.762,0.056,0.056,3.119,0,-1,-1,0.0415,0.00077,0.00077,0.832,0.038,0.038,1.218,0.04,0.04,13.92,0.71,0.71,0.431,0.033,0.033,1389,24,24,2009ApJ...703..752L,2013MNRAS.434.1300S
WASP-017,6550,100,100,-0.25,0.09,0.09,1.286,0.079,0.079,1.583,0.041,0.041,4.149,0.014,0.014,0.324,0.012,0.012,3.735,0,-1,-1,0.05135,0.00103,0.00103,0.477,0.033,0.033,1.932,0.053,0.053,3.16,0.2,0.2,0.0618,0.0048,0.0048,1755,28,28,2010ApJ...709..159A,2012MNRAS.426.1338S
WASP-018,6400,70,70,0.1,0.08,0.08,1.295,0.059,0.059,1.255,0.028,0.028,4.353,0.017,0.017,0.655,0.035,0.035,0.941,0.0085,0.002,0.002,0.02055,0.00031,0.00031,10.52,0.32,0.32,1.204,0.028,0.028,179.9,6.4,6.4,5.64,0.31,0.31,2411,35,35,2009Natur.460.1098H,2013MNRAS.428.2645M
WASP-019,5460,90,90,0.14,0.11,0.11,0.935,0.041,0.041,1.018,0.015,0.015,4.3932,0.0066,0.0066,0.8853,0.006,0.006,0.789,0,0.027,0,0.01634,0.00024,0.00024,1.139,0.036,0.036,1.41,0.021,0.021,14.21,0.18,0.18,0.38,0.0079,0.0079,2077,34,34,2010ApJ...708..224H,2013MNRAS.436....2M
WASP-020,5987,20,20,0.07,0.02,0.02,1.113,0.034,0.034,1.242,0.045,0.045,4.296,0.03,0.03,0.581,0.06,0.06,4.9,0,0.11,0,0.05851,0.00059,0.00059,0.396,0.046,0.046,1.382,0.057,0.057,5.13,0.73,0.73,0.14,0.024,0.024,1330,25,25,2015A+A...575A..61A,arXiv:2001.08225
WASP-021,5924,55,55,-0.22,0.04,0.04,0.89,0.079,0.079,1.136,0.051,0.051,4.277,0.026,0.026,0.607,0.048,0.048,4.323,0,-1,-1,0.0499,0.0015,0.0015,0.276,0.019,0.019,1.162,0.054,0.054,5.07,0.35,0.35,0.165,0.018,0.018,1333,28,28,2010A+A...519A..98B,2013A+A...557A..30C
WASP-022,6153,46,46,0.26,0.03,0.03,1.249,0.075,0.033,1.255,0.03,0.03,4.338,0.027,0.02,0.632,0.043,0.041,3.533,0,0.063,0,0.0489,0.001,0.001,0.617,0.028,0.018,1.199,0.046,0.027,10.63,0.53,0.71,0.334,0.024,0.033,1502,20,20,2010AJ....140.2007M,2016MNRAS.457.4205S
WASP-023,5046,99,99,0.05,0.06,0.06,0.842,0.051,0.049,0.819,0.033,0.028,4.531,0.025,0.029,1.497,0.033,0.031,2.944,0,-1,-1,0.03798,0.00075,0.00075,0.917,0.04,0.039,1.067,0.045,0.038,19.7,1.3,1.4,0.691,0.072,0.077,1152,28,26,2011A+A...531A..24T,2013A+A...553A..26N
WASP-024,6107,77,77,-0.02,0.1,0.1,1.168,0.075,0.075,1.317,0.041,0.041,4.267,0.022,0.022,0.512,0.034,0.034,2.341,0,0.0388,0,0.03635,0.00078,0.00078,1.109,0.054,0.054,1.303,0.047,0.047,16.19,0.99,0.99,0.469,0.042,0.042,1772,29,29,2010ApJ...720..337S,2014MNRAS.444..776S
WASP-025,5736,35,35,0.06,0.03,0.03,1.053,0.038,0.038,0.924,0.018,0.018,4.53,0.015,0.015,1.336,0.063,0.063,3.765,0,-1,-1,0.04819,0.00058,0.00058,0.598,0.046,0.046,1.247,0.032,0.032,9.54,0.8,0.8,0.288,0.028,0.028,1210,14,14,2011MNRAS.410.1631E,2014MNRAS.444..776S
